Scientific name,Short name,Common name,Foodweb name,Common Name
Pisidia.longicornis,Crab,Porcelain crab,,
plastic.debris,na,,,
Pomadasys.incisus,Pi,Bastard grunt,,
Pomatomus.saltatrix,Pom,Bluefish,,
Pomatoschistus,Pom,Gobies,,
Pomatoschistus.microps,Pom,Common goby,,
Pomatoschistus.minutus,Pom,Sand goby,,
Pomatoschistus.pictus,Pom,Painted goby,,
Porcellana.platycheles,Crab,Broad-clawed porcelain crab,,
Procambarus.clarkii,na,Cambarid freshwater crayfish,,
Processa.sp.,na,Shrimp,,
Rhithropanopeus.harrisii,Crab,Dwarf crab,,
Rhopalophthalmus.tartessicus,Rt,Bait shrimp,,
Sardina.pilchardus,Sp,European pilchard,,
Sardinella.aurita,na,Round sardinella,,
Sarpa.salpa,na,Dreamfish,,
Schistomysis.kervillei,Sk,Blood fluke,,
Scomber.japonicus,na,Chub mackerel,,
Scophthalmus.rhombus,na,Brill,,
Scorpaenidae.,na,Scorpionfish,,
Scyllarus.arctus,na,Slipper lobster,,
Scyllarus.posteli,na,Slipper lobster,,
Serranus.hepatus,na,Brown comber,,
Sicyonia.carinata,na,Shrimp,,
Siriella.clausii,na,Crustacean,,
Siriella.norvegica,na,Crustacean,,
Solea.senegalensis,Ss,Senegalese sole,,
Solea.vulgaris,Ss?,Common sole,,
Sparus.aurata,na,Gilt-head bream,,
Sphyraena.sphyraena,na,European barracuda,,
Squilla.mantis,na,Mantis shrimp,,
Stromateus.fiatola,na,Bony fish,,
Symphodus.bailloni,na,Baillon's wrasse,,
Symphodus.cinereus.,na,Grey wrasse,,
Symphodus.roissali,na,Five-spotted wrasse,,
Synaptura.lusitanica,Ss?,Portugese sole,,
Syngnathus.abaster,na,Black-striped pipefish,,
Syngnathus.acus,na,Greater pipefish,,
Syngnathus.typhle,na,Broadnosed pipefish,,
Synidotea.laticauda,Sl,Isopod,,
Torpedo.torpedo,na,Common torpedo,,
Trachinotus.ovatus,na,Silverfish,,
Trachinus.draco,na,Greater weever,,
Trachurus.trachurus,na,Atlantic horse mackerel,,
Trigla.lucerna,na,Tub gurnard,,
Uca.tangeri,Crab,Fiddler crab,,
Umbrina.canariensis,na,Canary drum,,
Umbrina.cirrosa,na,Shi drum,,
Upogebia.deltaura,na,Mud shrimp,,
Upogebia.pusilla,na,Mediterranean mud shrimp,,
Upogebia.tipica,na,Mud shrimp,,
vegetal.debris,Macroph,Assuming = Macrophyte,,
